case_id,fold
1-695486451,3
1-695870591,0
1-695872361,4
1-696080795,1
1-696101645,0
1-696163170,2
1-696361691,0
1-696484951,2
1-696831586,3
1-696861441,4
1-696882469,2
1-696894381,4
1-696911694,0
1-696915401,2
1-696981592,2
1-697462851,4
1-697478298,1
1-697528961,1
1-697746161,1
1-697751037,1
1-697774726,1
1-697777158,2
1-697896972,3
1-697955020,2
1-698029651,2
1-698029851,0
1-698036851,0
1-698065363,4
1-698350971,0
1-698400941,4
1-698487635,2
1-698555281,1
1-698572466,1
1-698843072,1
1-698990450,4
1-699016718,3
1-699103686,3
1-699262145,3
1-699297808,2
1-699344291,3
1-699545679,4
1-699557832,4
1-699617036,2
1-699655497,3
1-699703931,3
1-699719677,2
1-699750568,4
1-699989926,2
1-700135371,2
1-700161985,2
1-700205396,4
1-700245581,0
1-700300604,1
1-700356558,2
1-700370143,4
1-700427997,4
1-700431220,0
1-700466198,3
1-700466740,1
1-700563427,3
1-700591261,2
1-700822736,3
1-700826141,2
1-700955144,0
1-701147913,3
1-701284355,1
1-701412801,4
1-701488609,1
1-701567557,1
1-701687914,2
1-701688007,0
1-701799752,2
1-701820421,4
1-702316147,4
1-702542377,1
1-702551585,1
1-702586831,4
1-702667331,4
1-703146498,1
1-703263656,3
1-703279569,4
1-703368981,1
1-703430111,1
1-703433841,2
1-703547921,3
1-703888972,2
1-703940589,3
1-703995711,4
1-703999194,4
1-704030543,2
1-704051851,2
1-704096711,0
1-704155821,0
1-704163965,0
1-704194471,0
1-704218008,1
1-704223291,2
1-704275949,4
1-704682611,3
1-704747578,3
1-704804641,0
1-704849848,0
1-704868231,0
1-704940021,0
1-704946941,1
1-704985732,1
1-705039067,2
1-705039821,4
1-705050337,2
1-705084201,4
1-705164933,4
1-705201889,4
1-705739949,2
1-705770183,0
1-705791051,0
1-705791341,3
1-705845431,1
1-705847078,1
1-705847232,3
1-705895959,4
1-705901284,3
1-705937016,2
1-705976449,4
1-705991296,4
1-706022221,2
1-706095828,2
1-706148201,3
1-706158289,0
1-706221211,4
1-706221681,4
1-706532382,2
1-706532431,3
1-706675514,2
1-706700376,2
1-706844801,3
1-706845546,4
1-706880563,1
1-706983808,0
1-706996552,0
1-707167142,2
1-707196413,2
1-707214451,0
1-707231563,0
1-707253770,4
1-707295006,1
1-707613853,2
1-707644921,0
1-707689061,4
1-707771775,2
1-707802351,2
1-707807221,0
1-707854303,0
1-707933295,4
1-707939234,1
1-707991342,3
1-708029447,0
1-708059841,1
1-708116781,4
1-708116786,3
1-708177338,4
1-708505881,0
1-708524564,2
1-708526701,3
1-708529881,0
1-708573022,1
1-708577179,0
1-708587941,4
1-708588651,0
1-708605704,4
1-708618611,0
1-708621071,3
1-708621211,1
1-708621216,4
1-708625573,4
1-708654057,4
1-708654206,1
1-708654452,3
1-708674093,2
1-708824660,4
1-708840091,4
1-708840281,0
1-708840891,0
1-708879965,4
1-708954745,4
1-709023396,3
1-709033790,0
1-709073301,3
1-709073651,1
1-709167822,2
1-709437564,3
1-709456716,0
1-709465778,1
1-709477967,0
1-709496690,2
1-709502283,2
1-709504717,3
1-709505128,0
1-709542591,3
1-709544188,0
1-709557170,0
1-709563207,3
1-709563537,2
1-709663406,0
1-709707903,0
1-709715968,1
1-709758563,2
1-709769982,0
1-709804068,3
1-709831036,4
1-709844441,0
1-710083211,3
1-710083501,1
1-710083691,4
1-710083831,2
1-710133933,4
1-710177495,4
1-710211491,1
1-710248131,0
1-712880822,3
1-712891909,2
1-712901719,1
1-712908376,4
1-712916847,1
1-712916876,3
1-712942400,0
1-712950734,2
1-712979761,2
1-713046754,1
1-713472354,0
1-713472661,3
1-713520241,3
1-715404545,0
1-715416221,2
1-715416771,4
1-715437063,3
1-715439170,1
1-715505142,2
1-715505758,3
1-715628657,0
1-715641871,1
1-715642734,0
1-715658220,3
1-715673631,1
1-715677131,0
1-715689451,0
1-715704641,2
1-715713221,4
1-715724341,2
1-715731471,3
1-715739627,3
1-715753705,1
1-715780861,2
1-715819222,4
1-715860853,1
1-715927090,3
1-715977583,0
1-716035538,0
1-716092458,1
1-716114500,2
1-716164282,2
1-716195100,2
1-716202992,3
1-716215673,2
1-716219287,2
1-716221928,0
1-716224739,0
1-716234193,3
1-716234358,2
1-716289998,4
1-716290816,0
1-716294642,1
1-716331563,2
1-716381288,1
1-716409968,1
1-716410137,3
1-716410529,1
1-716425334,3
1-716445231,0
1-716466808,3
1-716467704,2
1-716473461,3
1-716510112,3
1-716530349,0
1-716547687,1
1-716584541,1
1-716584881,2
1-716587209,0
1-716629872,0
1-716650567,1
1-716650593,4
1-716688713,4
1-716689691,2
1-716949717,2
1-716962496,3
1-716981483,0
1-716989377,1
1-717021893,2
1-717027282,3
1-717067711,4
1-717113861,0
1-717126508,0
1-717137957,3
1-717173812,4
1-717197709,1
1-717207263,4
1-717210101,0
1-717227518,0
1-717228961,2
1-717275031,1
1-717283611,4
1-717331011,3
1-717333026,1
1-717397801,2
1-717413361,4
1-717419109,3
1-717431477,4
1-717446378,2
1-717491930,1
1-717684213,0
1-717714208,0
1-717717559,1
1-717720404,1
1-717726137,4
1-717764374,0
1-717770354,0
1-717795233,1
1-717799091,4
1-717837851,3
1-717843904,3
1-717845096,4
1-717854005,3
1-717901005,3
1-717914963,4
1-717915624,0
1-717918204,4
1-717918214,3
1-717954369,2
1-717971591,1
1-717977915,1
1-717979241,0
1-718004998,0
1-718005400,1
1-718021221,4
1-718028943,3
1-718032180,4
1-718038855,2
1-718043945,2
1-718089090,0
1-718100518,3
1-718132991,1
1-718133341,4
1-718151332,3
1-718162127,0
1-718915746,3
1-718965291,3
1-718977997,0
1-718997398,2
1-719009547,0
1-719035508,4
1-719042888,1
1-719069585,1
1-719110506,4
1-719114721,1
1-719156663,4
1-719171201,0
1-719171221,0
1-719171831,2
1-719199551,0
1-719204935,4
1-719232179,4
1-719232890,1
1-719240042,0
1-719251456,2
1-719257516,0
1-719272244,2
1-719278453,2
1-719278949,0
1-719283506,2
1-719317155,1
1-719343054,1
1-719365340,0
1-719368467,4
1-719376891,2
1-719396793,3
1-719401266,1
1-719410841,4
1-719417071,2
1-719418321,0
1-719427538,4
1-719457882,3
1-719494184,0
1-719527281,1
1-719527701,4
1-719545691,1
1-719557568,3
1-719557848,0
1-719562894,0
1-719564142,3
1-719570805,1
1-719604235,3
1-719999107,4
1-719999555,4
1-720001688,1
1-720016461,0
1-720020557,2
1-720038450,1
1-720050050,4
1-720058448,0
1-720069769,1
1-720106082,0
1-720110782,0
1-720113580,2
1-720120744,3
1-720121244,3
1-720123132,0
1-720132322,3
1-720136396,4
1-720136845,1
1-720139895,1
1-720148628,0
1-720162489,3
1-720183338,4
1-720204222,2
1-720205701,2
1-720206203,3
1-720210419,3
1-720236091,0
1-720236793,4
1-720238081,3
1-720238521,2
1-720238611,4
1-720256656,2
1-720284313,1
1-720284411,0
1-720286653,2
1-720286781,3
1-720293692,3
1-720303301,2
1-720314291,1
1-720344447,0
1-720348105,1
1-720382341,2
1-720382501,1
1-720395521,2
1-720397707,0
1-720399249,2
1-720413010,4
1-720431324,2
1-720444903,1
1-720467504,2
1-720472166,3
1-720472355,1
1-720480174,0
1-720521568,4
1-720573655,0
1-720600393,2
1-720602934,3
1-720625387,0
1-722011393,2
1-722015518,1
1-722019330,0
1-722031971,4
1-722032861,2
1-722036421,3
1-722037671,2
1-722043575,1
1-722053011,4
1-722064650,1
1-722070899,3
1-722082563,4
1-722087493,3
1-722100455,2
1-722103115,2
1-722103633,4
1-722135071,1
1-722135191,3
1-722135421,0
1-722180065,1
1-722180141,1
1-722195560,2
1-722199228,3
1-722201622,0
1-722206475,1
1-722223033,0
1-722240826,2
1-722242703,0
1-722244560,1
1-722261790,2
1-722273075,4
1-722293660,3
1-722299587,1
1-722306467,3
1-722332101,3
1-722362086,0
1-722385327,1
1-722386222,2
1-722386268,4
1-722388008,4
1-722393548,4
1-722398871,2
1-722410869,4
1-722410885,3
1-722415150,3
1-722446422,2
1-722446651,4
1-722456527,0
1-722456790,3
1-722457895,1
1-722464062,4
1-722485381,2
1-722499503,2
1-722514203,1
1-722535466,3
1-722551539,2
1-722557526,2
1-722557908,3
1-722563391,1
1-722563431,1
1-722563671,0
1-722563681,4
1-722568166,0
1-722576991,4
1-722577251,0
1-722577581,3
1-722579031,1
1-722579712,4
1-722586342,0
1-722591617,2
1-722603802,2
1-722633677,3
1-722653227,2
1-722676283,1
1-722676834,3
1-722682307,4
1-722698931,2
1-722699121,3
1-722699381,2
1-722751796,0
1-722774781,2
1-722800373,2
1-722802882,0
1-724993372,4
1-726519362,4
1-726519612,1
1-726521429,2
1-726528936,4
1-726528943,0
1-726530157,0
1-726532802,1
1-726532876,4
1-726533201,3
1-726537852,1
1-726546276,3
1-726546740,3
1-726552311,2
1-726554431,2
1-726576082,4
1-726614295,0
1-726625483,0
1-726625502,0
1-726637105,1
1-726667991,2
1-726668161,1
1-726695193,2
1-726696979,0
1-726712611,4
1-726729135,0
1-726747811,1
1-726754037,0
1-726769441,2
1-726777605,4
1-726777620,4
1-726797367,0
1-726829050,1
1-726834518,2
1-726844205,2
1-726889557,4
1-726893941,4
1-726893951,2
1-726894642,2
1-726894711,2
1-726894731,0
1-726896681,1
1-726907941,2
1-726908351,0
1-726908461,0
1-726908881,0
1-726913671,1
1-726921727,4
1-726923786,1
1-726936962,0
1-726943514,3
1-726974974,3
1-726977591,0
1-726993271,4
1-726994871,4
1-727013401,0
1-727021332,2
1-727029406,2
1-727049292,3
1-727074774,0
1-727104891,2
1-727108464,3
1-727113589,1
1-727123066,3
1-727152027,1
1-727155202,0
1-727165553,3
1-727176381,0
1-727217586,1
1-727224498,2
1-728176584,3
1-728181260,2
1-728186504,3
1-728186672,0
1-728236947,3
1-728245797,3
1-728256681,4
1-728261550,1
1-728261720,3
1-728268983,4
1-728269093,3
1-728288484,3
1-728290131,0
1-728290611,4
1-728292674,4
1-728308361,1
1-728309860,0
1-728318565,4
1-728326523,3
1-728338521,3
1-728338595,0
1-728372131,4
1-728375012,3
1-728380041,4
1-728380361,3
1-728380451,2
1-728380521,0
1-728401991,2
1-728402231,0
1-728408911,0
1-728409061,1
1-728412968,3
1-728418011,4
1-728423732,3
1-728429599,2
1-728429698,0
1-728449782,2
1-728463083,4
1-728466992,1
1-728471269,3
1-728476062,2
1-728479140,4
1-728479661,3
1-728480859,3
1-728515380,0
1-728515447,1
1-728516315,0
1-728516690,0
1-728549796,3
1-728558963,2
1-728564933,0
1-728565252,2
1-728567120,2
1-728567187,1
1-728567806,0
1-728574390,2
1-728595344,0
1-728604095,4
1-728604558,2
1-728609400,0
1-728617580,4
1-728627978,2
1-728628057,3
1-728641783,0
1-728700188,1
1-728722906,4
1-728728162,3
1-728737339,4
1-728749040,3
1-728749109,1
1-728768797,2
1-728774979,1
1-728827701,2
1-729074991,3
1-729075211,2
1-729080926,2
1-729082121,0
1-729082236,3
1-729082701,0
1-729082871,0
1-729083781,3
1-729097375,2
1-729244882,1
1-729249186,4
1-729256121,2
1-729256251,4
1-729256531,3
1-729256831,2
1-729256851,4
1-729256882,0
1-729275172,4
1-729275419,2
1-729278754,1
1-729312244,0
1-729312873,0
1-729315061,2
1-729315411,2
1-729315431,0
1-729317695,0
1-729337282,0
1-729345302,2
1-729347720,3
1-729349281,0
1-729349739,4
1-729351021,1
1-729351591,1
1-729351752,2
1-729351761,3
1-729356801,2
1-729358683,4
1-729358866,0
1-729360965,2
1-729363660,4
1-729371940,2
1-729381438,0
1-729406081,0
1-729406281,3
1-729406311,1
1-729406661,4
1-729407452,0
1-729413423,1
1-729423171,3
1-729423561,2
1-729424427,3
1-729424771,3
1-729440375,2
1-729441271,3
1-729441801,1
1-729447885,0
1-729454597,0
1-729455114,4
1-729455355,3
1-729456199,4
1-729462951,2
1-729463071,2
1-729463251,0
1-729463281,3
1-729463311,0
1-729463386,0
1-729463401,2
1-729463406,0
1-729463411,2
1-729463491,2
1-729463651,0
1-729463671,2
1-729463721,4
1-729463741,4
1-729463771,3
1-729463781,2
1-729463821,2
1-729463831,3
1-729463861,3
1-729468185,4
1-729473091,3
1-729473517,2
1-729482553,4
1-729495122,0
1-729497222,1
1-729510095,0
1-729510194,3
1-729512860,4
1-729513010,2
1-729519381,1
1-729519781,1
1-729523637,4
1-729527202,3
1-729536403,3
1-729556366,2
1-729564375,2
1-729564393,2
1-729580884,3
1-729585074,2
1-729586865,3
1-729593276,4
1-729598821,1
1-729610251,3
1-729615221,3
1-729616611,1
1-729639068,4
1-729642101,3
1-729642261,2
1-729642342,2
1-729650335,1
1-729654566,2
1-729659065,1
1-729659209,0
1-729659239,0
1-729660704,0
1-729681899,0
1-729683700,1
1-729692250,2
1-729696910,1
1-729696957,3
1-729697264,0
1-729697406,1
1-729697514,0
1-729701261,0
1-729703611,0
1-729707456,3
1-729710911,0
1-729722696,1
1-729724503,2
1-729724548,2
1-729732469,3
1-729735075,4
1-729737371,2
1-729748001,4
1-729748027,2
1-729748248,1
1-729751751,0
1-729753991,4
1-729765503,0
1-729769620,1
1-729769884,4
1-729770216,3
1-729771165,3
1-729775220,1
1-729775808,1
1-729781437,2
1-729781697,0
1-729783786,1
1-729794376,2
1-729799491,1
1-729802083,2
1-729802209,3
1-729802236,4
1-729806213,0
1-729809195,0
1-729809514,1
1-729814049,3
1-729820704,4
1-729820770,4
1-729823831,2
1-729825014,4
1-729826503,3
1-729830322,2
1-729843994,4
1-729844109,3
1-729857533,0
1-729866114,0
1-729870359,0
1-729890136,1
1-729893383,1
1-729896421,0
1-729905093,4
1-729905491,0
1-729910993,3
1-729913537,1
1-729913690,0
1-729955753,4
1-730005931,3
1-730018116,3
1-730030995,3
1-730035461,4
1-730040641,0
1-730040885,4
1-730042386,2
1-730054339,4
1-730065800,4
1-730067183,2
1-730067309,2
1-730068930,3
1-730069431,3
1-730069683,1
1-730071292,2
1-730071341,1
1-730071391,0
1-730071581,0
1-730071611,3
1-730071731,3
1-730071791,3
1-730071831,3
1-730077100,3
1-730080969,2
1-730081404,2
1-730081514,0
1-730081747,2
1-730082325,2
1-730084493,4
1-730110101,0
1-730126971,0
1-730126981,2
1-730127001,1
1-730127111,1
1-730127251,4
1-730127301,1
1-730127321,3
1-730127381,1
1-730129661,1
1-730130539,0
1-730177483,3
1-730188780,2
1-730497354,3
1-730497866,3
1-730502433,1
1-730509302,1
1-730509416,2
1-730509461,1
1-730509773,3
1-730515189,4
1-730515574,2
1-730520519,1
1-730522301,0
1-730528304,1
1-730529203,3
1-730533489,3
1-730540985,3
1-730550464,3
1-730550796,0
1-730561221,1
1-730561693,4
1-730589165,2
1-730589790,0
1-730604741,0
1-730607446,3
1-730607592,1
1-730620137,1
1-730624890,3
1-730628190,2
1-730640484,3
1-730641578,1
1-730644761,1
1-730655295,3
1-730655355,1
1-730655701,2
1-730661521,2
1-730661532,4
1-730661976,3
1-730662807,2
1-730664821,2
1-730683686,0
1-730683794,0
1-730687426,2
1-730692155,2
1-730692332,1
1-730692683,0
1-730693647,4
1-730694495,0
1-730697741,3
1-730698085,3
1-730698833,0
1-730700447,0
1-730736338,2
1-730737297,4
1-730757694,2
1-730760509,4
1-730760683,2
1-730760715,2
1-730768526,1
1-730772841,0
1-730780976,3
1-730784738,0
1-730788530,4
1-730795246,3
1-730802686,3
1-730811397,0
1-730811465,0
1-730812766,4
1-730829508,4
1-730833007,4
1-730833132,2
1-730835168,4
1-730835217,1
1-730858110,1
1-730872746,2
1-730884191,2
1-730887476,0
1-730901191,1
1-730901311,0
1-730901381,1
1-730901481,1
1-730901831,2
1-730901851,3
1-730901861,1
1-730901866,2
1-730901884,2
1-730919441,0
1-730919669,4
1-730952971,4
1-730954381,4
1-730957378,0
1-730957431,4
1-730957669,1
1-730959490,1
1-730960949,0
1-730968951,2
1-730969091,1
1-730969141,0
1-730969181,4
1-730969191,3
1-730969241,0
1-730969281,4
1-730969321,3
1-730969381,1
1-730969511,2
1-730969611,2
1-730969651,1
1-730969661,4
1-730969711,3
1-730969751,3
1-730969761,2
1-730969852,1
1-730975016,0
1-730975807,0
1-730992013,2
1-730992516,3
1-730997166,4
1-730997865,4
1-731025329,2
1-731050483,3
1-731050573,4
1-731064118,1
1-731064788,0
1-731064951,0
1-731065059,2
1-731065133,3
1-731065533,3
1-731069701,1
1-731073050,3
1-731088011,3
1-731088401,3
1-731094128,0
1-731094429,3
1-731094556,0
1-731100012,1
1-731100744,0
1-731102081,0
1-731102310,0
1-731113654,3
1-731117221,2
1-731123267,3
1-731134946,4
1-731135262,2
1-731142213,2
1-731142897,4
1-731147913,1
1-731151185,0
1-731154311,4
1-731154499,3
1-731154856,4
1-731157379,3
1-731157904,3
1-731170911,0
1-731177370,1
1-731182383,4
1-731182527,2
1-731188940,3
1-731208499,1
1-731218589,0
1-731228360,1
1-731233155,4
1-731235386,2
1-731235536,1
1-731241891,3
1-731266446,2
1-731269853,0
1-731273458,2
1-731276604,2
1-731276779,0
1-731278533,3
1-731330695,2
1-731333657,2
1-731333810,1
1-731334678,1
1-731336210,2
1-731341641,3
1-731342385,2
1-731382356,4
1-731382414,3
1-731439432,1
1-731439441,2
1-731439460,0
1-731764032,4
1-731764304,0
1-731766006,1
1-731779343,3
1-731779791,2
1-731780971,0
1-731792134,0
1-731802464,3
1-731802560,4
1-731809381,0
1-731814081,2
1-731814945,0
1-731815411,0
1-731816225,1
1-731818398,4
1-731818521,3
1-731829901,1
1-731829921,1
1-731829961,4
1-731830011,0
1-731830081,3
1-731830101,1
1-731830131,1
1-731830141,3
1-731830151,1
1-731830191,4
1-731830321,1
1-731830361,0
1-731830451,0
1-731830821,3
1-731830871,4
1-731831585,1
1-731840332,1
1-731840730,3
1-731849320,3
1-731853306,0
1-731853501,2
1-731861414,4
1-731868901,4
1-731868931,0
1-731868981,3
1-731869101,0
1-731869211,3
1-731869271,0
1-731869361,0
1-731869391,3
1-731869451,2
1-731869491,4
1-731869581,0
1-731869591,0
1-731869641,2
1-731869661,1
1-731869721,4
1-731869752,3
1-731871593,1
1-731879687,4
1-731886981,1
1-731887861,1
1-731888911,1
1-731890914,3
1-731896377,3
1-731896824,4
1-731897193,4
1-731913720,1
1-731923244,4
1-731925995,0
1-731926201,4
1-731937914,2
1-731945940,3
1-731950209,1
1-731965990,2
1-731966140,2
1-731966686,3
1-731967683,0
1-731970581,1
1-731970710,3
1-731984877,3
1-731991552,0
1-731996648,4
1-732011816,3
1-732011856,3
1-732013295,4
1-732017153,0
1-732018081,4
1-732018131,0
1-732022076,3
1-732024480,4
1-732024939,1
1-732025104,0
1-732025285,2
1-732026980,4
1-732027653,3
1-732030161,1
1-732030201,1
1-732030211,4
1-732030331,2
1-732030831,0
1-732061548,0
1-732061858,2
1-732062676,0
1-732067929,4
1-732068791,1
1-732073496,3
1-732081952,4
1-732088178,4
1-732095030,3
1-732095248,0
1-732098363,4
1-732099191,4
1-732110977,1
1-732111330,0
1-732115634,3
1-732121564,4
1-732124409,0
1-732137688,2
1-732139419,0
1-732143130,4
1-732145234,1
1-732157096,4
1-732161757,2
1-732163361,0
1-732171009,1
1-732173481,1
1-732173541,2
1-732174599,2
1-732177911,0
1-732179211,4
1-732179268,3
1-732179287,2
1-732185768,3
1-732193663,4
1-732196939,2
1-732199958,4
1-732201078,2
1-732202373,0
1-732202511,0
1-732203933,4
1-732205269,0
1-732211941,2
1-732211961,2
1-732212091,1
1-732212111,4
1-732212211,0
1-732212231,0
1-732212241,0
1-732212251,4
1-732212261,2
1-732212661,3
1-732212691,3
1-732212731,3
1-732212791,1
1-732212891,4
1-732218598,1
1-732218663,4
1-732219471,0
1-732223113,4
1-732224539,4
1-732226133,1
1-732228413,0
1-732229387,4
1-732229669,4
1-732229853,2
1-732240803,3
1-732247638,2
1-732251191,4
1-732251858,3
1-732254715,1
1-732259171,1
1-732259271,2
1-732259291,2
1-732259341,0
1-732259491,1
1-732259521,1
1-732261051,0
1-732261291,4
1-732261411,4
1-732261521,4
1-732261561,2
1-732261891,3
1-732279953,4
1-732282433,1
1-732289131,4
1-732289335,2
1-732289939,4
1-732296918,2
1-732297422,0
1-732297766,4
1-732297859,1
1-732297896,0
1-732309611,1
1-732316871,2
1-732325815,1
1-732332311,4
1-732335159,2
1-732335513,3
1-732348420,0
1-732357562,1
1-732359781,3
1-732361418,2
1-732361737,1
1-732378982,0
1-732385994,3
1-732391464,2
1-732394151,4
1-732419012,1
1-732424301,2
1-732425275,2
1-732439433,2
1-732439530,1
1-732447930,0
1-732451728,0
1-732451794,3
1-732455631,2
1-732463205,0
1-732469360,0
1-732469478,1
1-732473167,3
1-732525291,2
1-732526526,0
1-732851321,2
1-732852191,3
1-732855871,0
1-732862874,4
1-732863332,4
1-732867372,1
1-732869294,1
1-732869889,3
1-732875748,0
1-732877003,1
1-732883071,1
1-732884421,0
1-732885906,1
1-732886198,0
1-732886222,3
1-732886890,3
1-732892174,3
1-732892273,1
1-732892779,1
1-732893406,3
1-732895470,1
1-732895541,4
1-732899659,3
1-732899879,0
1-732904675,2
1-732909375,0
1-732909606,2
1-732923380,2
1-732933421,1
1-732936005,4
1-732942420,4
1-732942791,0
1-732943705,3
1-732949234,4
1-732949351,4
1-732958303,2
1-732960195,0
1-732967688,1
1-732970482,1
1-732970505,0
1-732970553,4
1-732972251,4
1-732984553,0
1-732987137,0
1-733001687,4
1-733009526,4
1-733022791,0
1-733033210,4
1-733037955,2
1-733055291,4
1-733062601,0
1-733072511,1
1-733073241,3
1-733073251,4
1-733073371,3
1-733073481,0
1-733073501,2
1-733073541,0
1-733073641,0
1-733073791,2
1-733075475,1
1-733075652,1
1-733075863,1
1-733076472,4
1-733076551,2
1-733076651,0
1-733076791,3
1-733076851,0
1-733076861,3
1-733076871,2
1-733078021,3
1-733078101,4
1-733081574,1
1-733082240,4
1-733083240,1
1-733083929,2
1-733084555,4
1-733084819,3
1-733096851,4
1-733111867,0
1-733115300,4
1-733115976,3
1-733120018,0
1-733120074,1
1-733123088,4
1-733131099,3
1-733135051,2
1-733135172,3
1-733141096,2
1-733158183,0
1-733158397,1
1-733161095,4
1-733161610,4
1-733164001,0
1-733174377,2
1-733177423,1
1-733178699,4
1-733196361,4
1-733198236,0
1-733199874,1
1-733199887,4
1-733202134,0
1-733207651,2
1-733208951,1
1-733209061,2
1-733209121,3
1-733209141,1
1-733209231,4
1-733209291,0
1-733209301,1
1-733209371,0
1-733209431,3
1-733209481,3
1-733209501,0
1-733209551,2
1-733209761,0
1-733209881,0
1-733211401,2
1-733240253,2
1-733240337,2
1-733240459,3
1-733240668,1
1-733242265,3
1-733242301,1
1-733242367,3
1-733244079,2
1-733244535,1
1-733249884,4
1-733250511,2
1-733251971,1
1-733252138,0
1-733252212,1
1-733252314,4
1-733252403,3
1-733254575,3
1-733265984,4
1-733266204,4
1-733266236,3
1-733271357,4
1-733272407,0
1-733272495,1
1-733279756,4
1-733286591,4
1-733290992,2
1-733293251,4
1-733301711,1
1-733302363,3
1-733302878,2
1-733302992,1
1-733318093,0
1-733319481,3
1-733325188,3
1-733336652,3
1-733337683,4
1-733338481,4
1-733338744,2
1-733341857,0
1-733345605,0
1-733348356,1
1-733348462,3
1-733348917,4
1-733348922,3
1-733350311,2
1-733350721,0
1-733357099,2
1-733360125,2
1-733360682,2
1-733362771,1
1-733364740,1
1-733368557,4
1-733368900,4
1-733372160,0
1-733372382,1
1-733381485,0
1-733389423,1
1-733393162,4
1-733405424,3
1-733408351,0
1-733413965,4
1-733414248,4
1-733418076,1
1-733420258,0
1-733424129,0
1-733442303,0
1-733443560,4
1-733449199,3
1-733449471,3
1-733456610,2
1-733469984,4
1-733471771,3
1-733471834,3
1-733474451,1
1-733478032,1
1-733478789,2
1-733482215,2
1-733482558,3
1-733485051,4
1-733485346,2
1-733498926,4
1-733511386,2
1-733527715,0
1-733527806,0
1-733536755,3
1-733539596,4
1-733547550,4
1-733549283,1
1-733552642,3
1-733556566,3
1-733556791,3
1-733561308,4
1-733561499,0
1-733561635,0
1-733561927,3
1-733561941,4
1-733563537,4
1-733565953,1
1-733566832,0
1-733613370,0
1-733614122,4
1-733648964,2
1-733649307,0
1-734030508,1
1-734658425,3
1-734659103,3
1-734659114,4
1-734659175,4
1-734664925,1
1-734665561,4
1-734666685,0
1-734666802,0
1-734668082,0
1-734668261,3
1-734671867,0
1-734672911,3
1-734672931,0
1-734673191,3
1-734673221,1
1-734673251,4
1-734673331,3
1-734673351,1
1-734673391,1
1-734673421,1
1-734673431,3
1-734673451,0
1-734673481,4
1-734673532,1
1-734673561,2
1-734673591,4
