log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb,note
BPI2013,gnn,NV-PrT,1.0,predict,7.3034,2488.32,2677.23,2677.23,
BPI2013,gnn,NV-PrT,2.0,fit,825.014,2424.6,2497.88,2502.35,
BPI2013,gnn,NV-PrT,2.0,predict,8.2713,2497.86,2689.25,2689.25,
BPI2013,gnn,NV-PrT,3.0,fit,846.4096,2444.12,2500.38,2504.56,
BPI2013,gnn,NV-PrT,3.0,predict,8.3294,2500.36,2687.84,2687.84,
BPI2013,gnn,NV-PrT,4.0,fit,832.911,2443.89,2505.34,2508.85,
BPI2013,gnn,NV-PrT,4.0,predict,8.0072,2505.32,2677.66,2677.66,
BPI2013,gnn,NV-PaT,,labeling,0.1254,1697.96,1711.49,1711.49,
BPI2013,gnn,NV-PaT,0.0,fit,843.52,1851.59,2435.56,2508.29,
BPI2013,gnn,NV-PaT,0.0,predict,7.4182,2435.54,2613.69,2656.21,
BPI2013,gnn,NV-PaT,1.0,fit,852.5947,2276.31,2458.96,2464.69,
BPI2013,gnn,NV-PaT,1.0,predict,7.3201,2458.95,2680.05,2680.05,
BPI2013,gnn,NV-PaT,2.0,fit,831.0437,2436.36,2507.41,2511.87,
BPI2013,gnn,NV-PaT,2.0,predict,7.3524,2507.39,2692.73,2692.73,
BPI2013,gnn,NV-PaT,3.0,fit,840.125,2357.89,2457.53,2460.82,
BPI2013,gnn,NV-PaT,3.0,predict,7.4936,2457.51,2623.05,2674.22,
BPI2013,gnn,NV-PaT,4.0,fit,848.7597,2385.15,2511.67,2516.19,
BPI2013,gnn,NV-PaT,4.0,predict,7.2234,2511.65,2616.46,2666.41,
BPI2013,gnn,NV-NMPr,,labeling,0.1215,1695.89,1709.12,1709.12,
BPI2013,gnn,NV-NMPr,0.0,fit,834.4475,1848.05,2430.85,2504.3,
BPI2013,gnn,NV-NMPr,0.0,predict,7.3612,2430.83,2677.3,2677.3,
BPI2013,gnn,NV-NMPr,1.0,fit,838.654,2337.51,2453.04,2458.36,
BPI2013,gnn,NV-NMPr,1.0,predict,7.3374,2453.02,2676.07,2676.07,
BPI2013,gnn,NV-NMPr,2.0,fit,828.367,2432.75,2507.73,2511.61,
BPI2013,gnn,NV-NMPr,2.0,predict,7.5773,2507.71,2687.84,2687.84,
BPI2013,gnn,NV-NMPr,3.0,fit,833.0614,2360.07,2459.8,2463.78,
BPI2013,gnn,NV-NMPr,3.0,predict,7.5362,2459.78,2685.61,2685.61,
BPI2013,gnn,NV-NMPr,4.0,fit,835.4826,2445.03,2505.29,2509.67,
BPI2013,gnn,NV-NMPr,4.0,predict,7.1935,2505.27,2675.8,2675.8,
BPI2013,gnn,OB-M,,labeling,0.1061,1695.73,1706.68,1706.68,
BPI2013,gnn,OB-M,0.0,fit,845.841,1845.26,2505.44,2506.26,
BPI2013,gnn,OB-M,0.0,predict,8.2889,2505.42,2748.31,2748.31,
BPI2013,gnn,OB-M,1.0,fit,847.8095,2478.48,2484.67,2558.84,
BPI2013,gnn,OB-M,1.0,predict,7.3549,2484.65,2676.68,2676.68,
BPI2013,gnn,OB-M,2.0,fit,835.9485,2428.3,2494.58,2498.76,
BPI2013,gnn,OB-M,2.0,predict,8.3122,2494.56,2687.32,2687.32,
BPI2013,gnn,OB-M,3.0,fit,833.0146,2439.48,2495.94,2500.35,
BPI2013,gnn,OB-M,3.0,predict,8.2021,2495.92,2686.03,2686.03,
BPI2013,gnn,OB-M,4.0,fit,844.0209,2441.34,2501.46,2506.48,
BPI2013,gnn,OB-M,4.0,predict,7.9491,2501.44,2674.73,2674.73,
